Test Name,Accuracy,F1 Score,Significance: Accuracy,Significance: F1 Score
BLR_TopDown - Co-Training_4,0.0003930284909860063,6.127750288869978e-06,0,0
BLR_TopDown - Co-Training_8,0.3900260171685962,0.05353335240335757,1,1
BLR_TopDown - Co-Training_12,0.5911324518203462,0.3701150197818056,1,1
BLR_TopDown - Tri-Training_4,0.7580929249565915,0.7390389727183562,1,1
BLR_TopDown - Tri-Training_8,0.8646359857048507,0.8997409896108214,1,1
BLR_TopDown - Tri-Training_12,0.9228245234782081,0.9538361906534643,1,1
BLR_TopDown - SSGMM_4,1.2407637874036436e-05,7.686018936642118e-05,0,0
BLR_TopDown - SSGMM_8,1.1112360985915835e-05,0.0008625608009743876,0,0
BLR_TopDown - SSGMM_12,4.3991179921822435e-05,0.002750263315482629,0,0
BLR_TopDown - Assemble_4,0.9489613234362766,0.8881225715044669,1,1
BLR_TopDown - Assemble_8,0.9776094323919278,0.9378001817059614,1,1
BLR_TopDown - Assemble_12,0.9356109413870702,0.9813863287920267,1,1
BLR_TopDown - SemiBoost_4,5.2567808060254906e-11,8.828173854612294e-09,0,0
BLR_TopDown - SemiBoost_8,6.682131515586291e-07,6.381558585237383e-05,0,0
BLR_TopDown - SemiBoost_12,0.9199213395067422,0.8712895959223126,1,1
BLR_Shootout - Co-Training_4,0.08844801633791005,0.008401459725170375,1,0
BLR_Shootout - Co-Training_8,0.39562652820470456,0.18071596963344064,1,1
BLR_Shootout - Co-Training_12,0.9396298316096204,0.8780768751973353,1,1
BLR_Shootout - Tri-Training_4,0.9392270668139155,0.9402439124344173,1,1
BLR_Shootout - Tri-Training_8,0.8637085070223158,0.8570870899166452,1,1
BLR_Shootout - Tri-Training_12,0.960378257053115,0.9474126807943697,1,1
BLR_Shootout - SSGMM_4,2.5121747949714664e-05,3.2864799900479156e-06,0,0
BLR_Shootout - SSGMM_8,9.809099418021354e-06,1.0206244000500916e-06,0,0
