Test Name,Accuracy,F1 Score,Significance: Accuracy,Significance: F1 Score
BLR_Audio_Arousal - Co-Training_4,0.009280673950811289,0.003675936687086694,0,0
BLR_Audio_Arousal - Co-Training_8,0.10676290034672305,0.06354772733055078,1,1
BLR_Audio_Arousal - Co-Training_12,0.11654586365258758,0.08760498160383896,1,1
BLR_Audio_Arousal - Tri-Training_4,0.7327633356041747,0.869791375985508,1,1
BLR_Audio_Arousal - Tri-Training_8,0.7315522849470506,0.9555394226265144,1,1
BLR_Audio_Arousal - Tri-Training_12,0.6572002370673042,0.9510122330124785,1,1
BLR_Audio_Arousal - SSGMM_4,1.1884392683333264e-06,0.6960043493330338,0,1
BLR_Audio_Arousal - SSGMM_8,1.1884392683333264e-06,0.6960043493330338,0,1
BLR_Audio_Arousal - SSGMM_12,1.1884392683333264e-06,0.6960043493330338,0,1
BLR_Audio_Arousal - Assemble_4,0.8594945022874789,0.21621995154280382,1,1
BLR_Audio_Arousal - Assemble_8,0.7266296001957024,0.7703568959854441,1,1
BLR_Audio_Arousal - Assemble_12,0.8532334832219421,0.949711216936661,1,1
BLR_Audio_Arousal - SemiBoost_4,5.592214447828828e-08,5.328634877530512e-05,0,0
BLR_Audio_Arousal - SemiBoost_8,0.0011715174112037882,0.07911587449783797,0,1
BLR_Audio_Arousal - SemiBoost_12,0.6644851931279584,0.3708193125993916,1,1
BLR_Audio_Valence - Co-Training_4,0.5418625278481184,0.11124317553624044,1,1
BLR_Audio_Valence - Co-Training_8,0.6501342525213435,0.47039378762887574,1,1
BLR_Audio_Valence - Co-Training_12,0.7833651112595954,0.6455769049981149,1,1
BLR_Audio_Valence - Tri-Training_4,0.858029943652478,0.8681228377453557,1,1
BLR_Audio_Valence - Tri-Training_8,0.8685837744555632,0.8381956905702702,1,1
BLR_Audio_Valence - Tri-Training_12,0.8012330732629099,0.9430428016947281,1,1
BLR_Audio_Valence - SSGMM_4,0.18699537985092018,0.03362594162820063,1,0
BLR_Audio_Valence - SSGMM_8,0.18699537985092018,0.03362594162820063,1,0
BLR_Audio_Valence - SSGMM_12,0.18699537985092018,0.03362594162820063,1,0
BLR_Audio_Valence - Assemble_4,0.5321835719440442,0.37747747747773763,1,1
BLR_Audio_Valence - Assemble_8,0.9296636565428399,0.33594084934677415,1,1
BLR_Audio_Valence - Assemble_12,0.6711624943370156,0.7351805743195078,1,1
BLR_Audio_Valence - SemiBoost_4,0.011123627500223067,0.22265480688398637,0,1
BLR_Audio_Valence - SemiBoost_8,0.13702689239375007,0.5131907440403943,1,1
BLR_Audio_Valence - SemiBoost_12,0.48485806405592446,0.16665194250623705,1,1
BLR_Visual_Arousal - Co-Training_4,0.5684110111405223,0.045193184282056174,1,0
BLR_Visual_Arousal - Co-Training_8,0.6733573805351876,0.24367417414547135,1,1
BLR_Visual_Arousal - Co-Training_12,0.9014264186333009,0.6184561692897734,1,1
BLR_Visual_Arousal - Tri-Training_4,0.41422799511600683,0.6372187451007554,1,1
BLR_Visual_Arousal - Tri-Training_8,0.6453604966299943,0.9139452917948583,1,1
BLR_Visual_Arousal - Tri-Training_12,0.972235337858357,0.9947064411033791,1,1
BLR_Visual_Arousal - SSGMM_4,0.022732238561715083,0.0015500626404889718,0,0
BLR_Visual_Arousal - SSGMM_8,0.022732238561715083,0.0015500626404889718,0,0
BLR_Visual_Arousal - SSGMM_12,0.024157875653159876,0.00151707502171261,0,0
BLR_Visual_Arousal - Assemble_4,0.7326966526775567,0.8464452200682915,1,1
BLR_Visual_Arousal - Assemble_8,0.4355962313448625,0.8399832994818288,1,1
BLR_Visual_Arousal - Assemble_12,0.15387498699477548,0.5034020435841078,1,1
BLR_Visual_Arousal - SemiBoost_4,0.0019354579314271826,0.001527267814775213,0,0
BLR_Visual_Arousal - SemiBoost_8,0.0017706464120257265,0.24215956524760324,0,1
BLR_Visual_Arousal - SemiBoost_12,0.1897684886138492,0.424626484901791,1,1
BLR_Visual_Valence - Co-Training_4,0.1932835269571677,0.04532411875972441,1,0
BLR_Visual_Valence - Co-Training_8,0.21667193478314453,0.2000546737391291,1,1
BLR_Visual_Valence - Co-Training_12,0.06046974799156023,0.9070294514416377,1,1
BLR_Visual_Valence - Tri-Training_4,0.60384691040358,0.7545451528719658,1,1
BLR_Visual_Valence - Tri-Training_8,0.6574746371734869,0.8371495055823832,1,1
BLR_Visual_Valence - Tri-Training_12,0.9212435732643471,0.9524614181118765,1,1
BLR_Visual_Valence - SSGMM_4,0.2817800207233568,0.04719748742978962,1,0
BLR_Visual_Valence - SSGMM_8,0.7601715571062159,0.23206442860044707,1,1
BLR_Visual_Valence - SSGMM_12,0.858163002954879,0.9490938938585165,1,1
BLR_Visual_Valence - Assemble_4,0.45145350779167503,0.8025925712465154,1,1
BLR_Visual_Valence - Assemble_8,0.41977173650047783,0.7994999748434477,1,1
BLR_Visual_Valence - Assemble_12,0.3079115846421022,0.4824340912630515,1,1
BLR_Visual_Valence - SemiBoost_4,0.6337619082933057,0.6637142815422936,1,1
BLR_Visual_Valence - SemiBoost_8,0.7858876576225485,0.6916110188263545,1,1
BLR_Visual_Valence - SemiBoost_12,0.7550012295135444,0.8490543175944073,1,1
BLR_Phys_Arousal - Co-Training_4,0.1057848604428845,0.00384957957186574,1,0
BLR_Phys_Arousal - Co-Training_8,0.6337125063187735,0.09532346594956552,1,1
BLR_Phys_Arousal - Co-Training_12,0.6571582690584498,0.6205718024062878,1,1
BLR_Phys_Arousal - Tri-Training_4,0.4828278710230405,0.7276883566567913,1,1
BLR_Phys_Arousal - Tri-Training_8,0.861391774700191,0.9729797226123282,1,1
BLR_Phys_Arousal - Tri-Training_12,0.6734595347763994,0.6501777125692396,1,1
BLR_Phys_Arousal - SSGMM_4,0.00041610904614233833,0.12423672523180584,0,1
BLR_Phys_Arousal - SSGMM_8,0.00046492861524404086,0.12369169938661655,0,1
BLR_Phys_Arousal - SSGMM_12,0.00038475852215183513,0.12898816447313455,0,1
BLR_Phys_Arousal - Assemble_4,0.7435280076989934,0.9860221973781225,1,1
BLR_Phys_Arousal - Assemble_8,0.6141837843892763,0.8332120990942152,1,1
BLR_Phys_Arousal - Assemble_12,0.7383148915912205,0.8804471969604725,1,1
BLR_Phys_Arousal - SemiBoost_4,1.9866957412205572e-05,0.09001284144713963,0,1
BLR_Phys_Arousal - SemiBoost_8,0.0055195838930375595,0.10249726229465429,0,1
BLR_Phys_Arousal - SemiBoost_12,0.7911638643930586,0.9969838543746745,1,1
BLR_Phys_Valence - Co-Training_4,0.8385296840384003,0.020017405752056832,1,0
BLR_Phys_Valence - Co-Training_8,0.2617867394159982,0.21479230791530818,1,1
BLR_Phys_Valence - Co-Training_12,0.6001076501151262,0.5251834249245155,1,1
BLR_Phys_Valence - Tri-Training_4,0.35198602146257274,0.5348147355970311,1,1
BLR_Phys_Valence - Tri-Training_8,0.49168489036795227,0.7777790203798911,1,1
